Date,Open,High,Low,Close,Volume,Change
2017-06-29,92892,92892,92814,92872,501,
2017-06-30,92843,92843,92814,92827,101,-0.000484537858558
2017-07-03,92781,92781,92728,92739,12,-0.0009480000430909
2017-07-04,92728,92728,92615,92648,21,-0.0009812484499509
2017-07-05,92624,92624,92624,92631,10,-0.0001834901994646
2017-07-06,92634,92634,92634,92640,10,9.715969815715651e-05
2017-07-07,92507,92507,92442,92449,11,-0.0020617443868738
2017-07-10,92452,92552,92452,92563,20,0.0012331123105713
2017-07-11,92590,92590,92590,92597,10,0.0003673173946392
2017-07-12,92638,92638,92638,92645,10,0.0005183753253346
2017-07-13,92695,92780,92695,92790,20,0.0015651141453936
2017-07-14,92692,92692,92692,92700,10,-0.0009699321047527
2017-07-17,92747,92747,92692,92700,20,0.0
2017-07-18,92677,92728,92677,92739,20,0.0004207119741099
2017-07-19,92804,92804,92742,92753,20,0.0001509612999923
2017-07-20,92742,92804,92742,92811,20,0.0006253167013465
2017-07-21,92814,92882,92814,92891,20,0.0008619667927292
2017-07-24,92882,92882,92882,92891,10,0.0
2017-07-25,92868,92925,92868,92934,20,0.0004629081396474
2017-07-26,92925,92925,92823,92827,20,-0.0011513547248584
2017-07-27,92910,92942,92910,92953,20,0.0013573636980619
2017-07-28,92947,92947,92879,92886,20,-0.0007207943799554
2017-07-31,92925,92925,92925,92934,10,0.0005167624830437
2017-08-01,92920,92920,92828,92832,20,-0.0010975531022016
2017-08-02,92876,92876,92876,92882,10,0.0005386073767665
2017-08-03,92875,92880,92814,92837,142516,-0.0004844856915225
2017-08-04,92880,92902,92873,92877,111010,0.0004308626948308
2017-08-07,92786,92786,92681,92768,34200,-0.0011735951850296
2017-08-08,92766,92766,92757,92768,1011,0.0
2017-08-09,92629,92629,92552,92563,20,-0.002209813728872
2017-08-10,92556,92594,92556,92583,1020,0.0002160690556702
2017-08-11,92648,92648,92648,92653,10,0.0007560783297149
2017-08-14,92733,92733,92710,92720,20,0.0007231282311419
2017-08-16,92629,92629,92629,92635,10,-0.0009167385677307
2017-08-17,92658,92658,92658,92661,10,0.0002806714524747
2017-08-18,92733,92733,92733,92744,10,0.0008957382285967
2017-08-21,92701,92701,92701,92710,10,-0.0003666005348055
2017-08-22,92747,92747,92710,92720,20,0.0001078632294251
2017-08-23,92710,92710,92710,92720,10,0.0
2017-08-24,92790,92790,92714,92725,110,5.392579810181708e-05
2017-08-25,92786,92915,92786,92924,20,0.0021461310326233
2017-08-28,92897,92897,92897,92906,10,-0.0001937066850329
2017-08-29,92876,92876,92868,92872,13,-0.0003659612942114
2017-08-30,92925,92925,92925,92934,10,0.0006675854940132
2017-08-31,92965,92965,92965,92975,10,0.0004411733057869
2017-09-01,92942,92942,92942,92953,10,-0.0002366227480505
2017-09-04,92790,92790,92790,92800,10,-0.0016459931363161
2017-09-05,92832,92832,92799,92807,20,7.543103448282018e-05
2017-09-06,92849,92903,92849,92911,20,0.0011206051267684
2017-09-07,92926,92926,92898,92906,20,-5.381494118028574e-05
2017-09-08,92987,92987,92987,92993,10,0.0009364303704819
2017-09-11,93048,93048,93020,93026,20,0.0003548654199778
2017-09-12,92965,92965,92965,92975,10,-0.0005482338271021
2017-09-13,92997,92997,92997,93002,10,0.0002904006453348
2017-09-14,93061,93061,93061,93067,10,0.0006989097008667
2017-09-15,93088,93088,93088,93096,10,0.0003116034684689
2017-09-18,93088,93088,93088,93096,10,0.0
2017-09-19,93044,93044,92987,92993,20,-0.0011063848070809
2017-09-20,92943,92943,92943,92954,10,-0.0004193864054283
2017-09-21,92934,92977,92869,92984,22,0.0003227402801384
2017-09-22,93009,93009,93009,93016,10,0.0003441452292867
2017-09-25,93009,93009,93009,93016,10,0.0
2017-09-26,92967,92967,92883,92891,20,-0.001343854820676
2017-09-27,92874,92874,92776,92786,1010,-0.0011303570851858
2017-09-28,92692,92692,92547,92558,11,-0.0024572672601470003
2017-09-29,92710,92710,92710,92720,11,0.001750253894855
2017-10-10,92685,92685,92468,92565,22,-0.0016716997411562
2017-10-11,92610,92610,92580,92586,21,0.0002268676065466
2017-10-12,92615,92692,92615,92700,20,0.0012312876676818
2017-10-13,92733,92733,92696,92705,20,5.393743257831042e-05
2017-10-16,92696,92696,92696,92705,10,0.0
2017-10-17,92653,92653,92580,92657,21,-0.0005177714254894
2017-10-18,92681,92681,92681,92685,10,0.0003021897967774
2017-10-19,92663,92663,92600,92605,11,-0.0008631385876894
2017-10-20,92501,92501,92501,92509,10,-0.0010366610874142
2017-10-23,92314,92314,92314,92323,10,-0.0020106151833875
2017-10-24,92372,92372,92118,92292,21,-0.0003357776502063
2017-10-25,92204,92204,92204,92209,10,-0.0008993195509903
2017-10-26,92072,92072,92032,92038,11,-0.0018544827511414
2017-10-27,91914,91914,91914,91922,10,-0.0012603489862882
2017-10-30,92042,92042,91919,92048,21,0.0013707273558016
2017-10-31,92037,92037,92037,92043,10,-5.431948548584309e-05
2017-11-01,91821,91821,91821,91826,10,-0.0023575937333637
2017-11-02,92008,92008,92008,92013,11,0.0020364602617994
2017-11-03,92057,92057,92057,92065,10,0.0005651375349136
2017-11-06,92013,92013,91983,91992,20,-0.0007929180470319
2017-11-07,91992,91992,91992,91999,10,7.609357335414124e-05
2017-11-08,92042,92042,92042,92048,10,0.00053261448494
2017-11-09,92037,92037,92032,92038,20,-0.0001086389709716
2017-11-10,92063,92063,92027,92033,14,-5.432538733995962e-05
2017-11-13,91924,91924,91924,91932,10,-0.0010974324427107
2017-11-14,91904,91904,91845,91851,20,-0.0008810860201018
2017-11-15,91887,91941,91887,91950,20,0.0010778325766731
2017-11-16,91983,91983,91983,91992,10,0.0004567699836868
2017-11-17,91941,91988,91941,91995,20,3.2611531437520824e-05
2017-11-20,91983,91983,91983,91992,11,-3.261046796021461e-05
2017-11-21,92045,92045,92045,92052,10,0.0006522306287504
