Date,Open,High,Low,Close,Volume,Change
2020-07-07,50005,50005,50000,50005,11254,
2020-07-08,50005,50005,50005,50005,10396,0.0
2020-07-09,50005,50010,50005,50010,699,9.999000099991664e-05
2020-07-10,50015,50015,50010,50010,1000,0.0
2020-07-13,50010,50010,50010,50010,1200,0.0
2020-07-14,50010,50010,50005,50010,257,0.0
2020-07-15,50010,50010,50010,50010,3,0.0
2020-07-16,50010,50010,50010,50010,100,0.0
2020-07-17,50015,50015,50015,50015,5,9.998000399913387e-05
2020-07-20,50015,50015,50015,50015,0,0.0
2020-07-21,50020,50020,50020,50020,0,9.997000899719666e-05
2020-07-22,50020,50020,50020,50020,9,0.0
2020-07-23,50025,50025,50025,50025,92,9.996001599366088e-05
2020-07-24,50030,50030,50025,50025,112,0.0
2020-07-27,50025,50025,50025,50025,10,0.0
2020-07-28,50025,50025,50025,50025,4,0.0
2020-07-29,50025,50025,50025,50025,22107,0.0
2020-07-30,50030,50030,50030,50030,100,9.995002498741634e-05
2020-07-31,50030,50030,50025,50025,51,-9.994003597846304e-05
2020-08-03,50030,50030,50025,50025,40001,0.0
2020-08-04,50030,50030,50025,50030,37007,9.995002498741634e-05
2020-08-05,50035,50035,50030,50030,45014,0.0
2020-08-06,50040,50045,50035,50040,26004,0.0001998800719569
2020-08-07,50035,50040,50030,50040,48196,0.0
2020-08-10,50040,50040,50035,50035,36016,-9.992006394887731e-05
2020-08-11,50045,50050,50040,50050,28009,0.000299790146897
2020-08-12,50045,50045,50040,50040,32002,-0.0001998001998001
2020-08-13,50050,50055,50045,50050,33846,0.0001998401278977
2020-08-14,50050,50050,50045,50045,32008,-9.990009990012982e-05
2020-08-18,50055,50060,50045,50050,40010,9.991008092713471e-05
2020-08-19,50060,50060,50050,50055,28019,9.99000999000188e-05
2020-08-20,50060,50065,50050,50055,32109,0.0
2020-08-21,50060,50065,50050,50055,28456,0.0
2020-08-24,50065,50065,50055,50060,34532,9.989012086708549e-05
2020-08-25,50065,50065,50055,50060,28017,0.0
2020-08-26,50065,50065,50045,50055,22040,-9.988014382744659e-05
2020-08-27,50060,50060,50055,50060,42057,9.989012086708549e-05
2020-08-28,50080,50080,50055,50060,34007,0.0
2020-08-31,50070,50070,50060,50060,28226,0.0
2020-09-01,50065,50065,50060,50060,1004,0.0
2020-09-02,50065,50065,50065,50065,0,9.988014382744659e-05
2020-09-03,50065,50065,50065,50065,90,0.0
2020-09-04,50070,50070,50070,50070,100,9.987016878065802e-05
2020-09-07,50070,50070,50070,50070,22,0.0
2020-09-08,50075,50075,50070,50075,22,9.986019572605363e-05
2020-09-09,50075,50075,50075,50075,5,0.0
2020-09-10,50075,50075,50075,50075,1,0.0
2020-09-11,50080,50080,50070,50075,4,0.0
2020-09-14,50075,50075,50075,50075,2,0.0
2020-09-15,50080,50080,50075,50075,180,0.0
2020-09-16,50075,50080,50075,50080,266,9.985022466296734e-05
2020-09-17,50080,50080,50075,50075,602,-9.984025559106602e-05
2020-09-18,50080,50085,50080,50080,155,9.985022466296734e-05
2020-09-21,50085,50085,50085,50085,101,9.984025559095501e-05
2020-09-22,50085,50085,50080,50080,11,-9.983028850957254e-05
2020-09-23,50085,50085,50085,50085,178,9.984025559095501e-05
2020-09-24,50085,50090,50085,50090,17,9.983028850957254e-05
2020-09-25,50090,50090,50085,50085,22,-9.982032341782077e-05
2020-09-28,50090,50095,50090,50095,3,0.0001996605770191
2020-09-29,50090,50090,50090,50090,100,-9.98103603153666e-05
2020-10-05,50095,50095,50095,50095,20,9.98203234179318e-05
2020-10-06,50095,50095,50095,50095,1,0.0
2020-10-07,50095,50095,50095,50095,646,0.0
2020-10-08,50100,50100,50100,50100,40020,9.98103603153666e-05
2020-10-12,50095,50100,50095,50100,24,0.0
2020-10-13,50100,50100,50100,50100,1,0.0
2020-10-14,50100,50100,50100,50100,4,0.0
2020-10-15,50100,50100,50100,50100,0,0.0
2020-10-16,50100,50100,50100,50100,0,0.0
2020-10-19,50105,50105,50105,50105,20,9.980039920165495e-05
2020-10-20,50105,50110,50105,50110,74,9.979044007590865e-05
2020-10-21,50110,50110,50105,50105,20,-9.978048293757258e-05
2020-10-22,50115,50115,50115,50115,1,0.0001995808801515
2020-10-23,50115,50115,50115,50115,1,0.0
2020-10-26,50110,50110,50110,50110,627,-9.977052778609163e-05
2020-10-27,50105,50105,50105,50105,1,-9.978048293757258e-05
2020-10-28,50110,50110,50110,50110,124,9.979044007590865e-05
2020-10-29,50120,50120,50120,50120,40,0.0001995609658751
2020-10-30,50120,50120,50120,50120,1,0.0
2020-11-02,50120,50120,50120,50120,1,0.0
2020-11-03,50120,50120,50120,50120,10,0.0
2020-11-04,50120,50120,50120,50120,0,0.0
2020-11-05,50120,50120,50115,50115,8,-9.97605746209107e-05
2020-11-06,50120,50125,50120,50125,51,0.0001995410555721
2020-11-09,50120,50125,50120,50125,2,0.0
2020-11-10,50125,50125,50125,50125,10,0.0
2020-11-11,50125,50125,50125,50125,101,0.0
2020-11-12,50125,50125,50125,50125,40043,0.0
2020-11-13,50130,50130,50130,50130,10,9.975062344147469e-05
2020-11-16,50125,50125,50125,50125,1,-9.97406742470064e-05
2020-11-17,50130,50130,50130,50130,45100,9.975062344147469e-05
2020-11-18,50130,50130,50130,50130,220,0.0
2020-11-19,50135,50135,50135,50135,206,9.974067424689537e-05
2020-11-20,50135,50135,50135,50135,0,0.0
2020-11-23,50135,50135,50135,50135,10,0.0
2020-11-24,50135,50135,50135,50135,30,0.0
2020-11-25,50135,50135,50135,50135,0,0.0
2020-11-26,50140,50140,50140,50140,159804,9.973072703695074e-05
2020-11-27,50145,50145,50145,50145,1,9.972078181097466e-05
2020-11-30,50145,50145,50145,50145,0,0.0
2020-12-01,50145,50145,50145,50145,3,0.0
2020-12-02,50145,50145,50145,50145,1,0.0
2020-12-03,50145,50145,50145,50145,1,0.0
2020-12-04,50150,50150,50150,50150,100,9.971083856807894e-05
2020-12-07,50150,50150,50150,50150,10,0.0
2020-12-08,50150,50150,50150,50150,5,0.0
2020-12-09,50150,50150,50150,50150,1,0.0
2020-12-10,50155,50155,50150,50150,40005,0.0
2020-12-11,50150,50155,50150,50155,426,9.970089730804156e-05
2020-12-14,50150,50155,50150,50155,23,0.0
2020-12-15,50155,50155,50155,50155,10,0.0
2020-12-16,50155,50155,50155,50155,5,0.0
2020-12-17,50160,50160,50160,50160,5,9.969095803019634e-05
2020-12-18,50160,50160,50160,50160,398,0.0
2020-12-21,50160,50160,50160,50160,4,0.0
2020-12-22,50160,50160,50160,50160,10,0.0
2020-12-23,50160,50165,50160,50165,55,9.968102073365516e-05
2020-12-24,50165,50165,50165,50165,0,0.0
2020-12-28,50165,50165,50165,50165,150,0.0
2020-12-29,50170,50170,50170,50170,10,9.967108541819593e-05
2020-12-30,50170,50170,50170,50170,10,0.0
2021-01-04,50175,50175,50175,50175,714,9.966115208293048e-05
2021-01-05,50170,50175,50170,50175,3698,0.0
2021-01-06,50175,50175,50175,50175,0,0.0
2021-01-07,50180,50180,50180,50180,12,9.965122072741472e-05
2021-01-08,50175,50175,50175,50175,4310,-9.964129135109355e-05
2021-01-11,50180,50180,50180,50180,10,9.965122072741472e-05
2021-01-12,50180,50180,50175,50175,17,-9.964129135109355e-05
2021-01-13,50180,50180,50180,50180,100,9.965122072741472e-05
2021-01-14,50180,50180,50180,50180,1,0.0
2021-01-15,50180,50180,50180,50180,0,0.0
2021-01-18,50180,50185,50180,50185,11,9.96412913512046e-05
2021-01-19,50195,50195,50195,50195,6,0.0001992627279068
2021-01-20,50190,50190,50190,50190,0,-9.961151509119136e-05
2021-01-21,50190,50190,50185,50190,14008,0.0
2021-01-22,50190,50190,50190,50190,11,0.0
2021-01-25,50185,50185,50185,50185,59,-9.962143853359252e-05
2021-01-26,50190,50190,50190,50190,50002,9.963136395341188e-05
2021-01-27,50190,50195,50190,50195,13,9.962143853359252e-05
2021-01-28,50195,50195,50195,50195,8,0.0
2021-01-29,50195,50195,50190,50195,1547,0.0
2021-02-01,50195,50195,50195,50195,3,0.0
2021-02-02,50195,50195,50195,50195,10,0.0
2021-02-03,50195,50200,50195,50195,13,0.0
2021-02-04,50200,50200,50200,50200,2001,9.961151509108036e-05
2021-02-05,50200,50205,50200,50200,19,0.0
2021-02-08,50200,50200,50200,50200,10,0.0
2021-02-09,50205,50205,50205,50205,2649,9.960159362543128e-05
2021-02-10,50205,50205,50205,50205,10,0.0
2021-02-15,50205,50205,50205,50205,10,0.0
2021-02-16,50210,50210,50210,50210,5,9.959167413597923e-05
2021-02-17,50205,50210,50205,50210,25,0.0
2021-02-18,50215,50215,50210,50215,19128,9.958175662228008e-05
2021-02-19,50215,50215,50215,50215,9,0.0
2021-02-22,50215,50215,50215,50215,20000,0.0
2021-02-23,50215,50215,50215,50215,2,0.0
2021-02-24,50215,50225,50215,50215,9,0.0
2021-02-25,50225,50225,50220,50220,4,9.957184108344565e-05
2021-02-26,50220,50220,50220,50220,0,0.0
2021-03-02,50220,50230,50220,50220,41,0.0
2021-03-03,50220,50230,50220,50225,306,9.956192751880977e-05
2021-03-04,50225,50225,50225,50225,1001,0.0
2021-03-05,50230,50230,50230,50230,10024,9.955201592837248e-05
2021-03-08,50225,50230,50225,50225,45,-9.954210631102356e-05
2021-03-09,50230,50255,50230,50230,42125,9.955201592837248e-05
2021-03-10,50230,50235,50230,50235,15,9.954210631102356e-05
2021-03-11,50230,50230,50230,50230,1005,-9.95321986663189e-05
2021-03-12,50235,50235,50235,50235,1,9.954210631102356e-05
2021-03-15,50235,50235,50230,50230,12,-9.95321986663189e-05
2021-03-16,50235,50240,50235,50235,1067,9.954210631102356e-05
2021-03-17,50235,50235,50235,50235,20,0.0
2021-03-18,50240,50245,50240,50245,95,0.0001990643973326
2021-03-19,50240,50240,50240,50240,1000,-9.951238929251094e-05
2021-03-22,50240,50240,50240,50240,1940,0.0
2021-03-23,50245,50245,50245,50245,10,9.95222929935924e-05
2021-03-24,50245,50245,50245,50245,4,0.0
2021-03-25,50245,50245,50245,50245,10140,0.0
2021-03-26,50245,50245,50245,50245,10,0.0
2021-03-29,50245,50245,50245,50245,10,0.0
2021-03-30,50245,50245,50245,50245,0,0.0
2021-03-31,50250,50260,50250,50260,1001,0.0002985371678774
2021-04-01,50260,50260,50260,50260,13,0.0
2021-04-02,50260,50260,50250,50250,3,-0.0001989653800238
2021-04-05,50255,50255,50255,50255,10,9.950248756229743e-05
2021-04-06,50255,50255,50255,50255,10,0.0
2021-04-07,50255,50255,50255,50255,5,0.0
2021-04-08,50260,50260,50260,50260,10,9.949258780217464e-05
2021-04-09,50270,50270,50270,50270,10,0.0001989653800238
2021-04-12,50270,50270,50270,50270,6,0.0
2021-04-13,50270,50270,50270,50270,15,0.0
2021-04-14,50275,50275,50275,50275,56,9.9462900338132e-05
2021-04-15,50275,50275,50275,50275,3,0.0
2021-04-16,50270,50270,50270,50270,4,-9.945300845348726e-05
2021-04-19,50270,50280,50270,50280,1654,0.0001989258006762
2021-04-20,50280,50280,50270,50280,56,0.0
2021-04-21,50270,50270,50270,50270,11,-0.0001988862370724
2021-04-22,50275,50275,50275,50275,13,9.9462900338132e-05
2021-04-23,50275,50275,50275,50275,1113,0.0
2021-04-26,50275,50275,50275,50275,10,0.0
2021-04-27,50275,50275,50275,50275,10,0.0
2021-04-28,50275,50280,50275,50280,7,9.945300845348726e-05
2021-04-29,50280,50280,50280,50280,1000,0.0
2021-04-30,50280,50280,50280,50280,15,0.0
2021-05-03,50285,50295,50285,50285,2013,9.944311853615771e-05
2021-05-04,50285,50290,50285,50285,1323,0.0
2021-05-06,50295,50295,50285,50285,193,0.0
2021-05-07,50290,50300,50290,50290,1003,9.943323058569928e-05
2021-05-10,50300,50300,50290,50290,24,0.0
2021-05-11,50290,50300,50290,50290,81,0.0
2021-05-12,50305,50305,50295,50295,60,9.942334460122382e-05
2021-05-13,50295,50295,50295,50295,0,0.0
2021-05-14,50300,50310,50300,50300,1013,9.941346058250922e-05
2021-05-17,50310,50310,50310,50310,7,0.0001988071570575
2021-05-18,50305,50305,50300,50300,59,-0.000198767640628
2021-05-20,50305,50315,50305,50315,1073,0.0002982107355864
2021-05-21,50315,50315,50315,50315,0,0.0
2021-05-24,50315,50315,50310,50315,8010,0.0
2021-05-25,50310,50315,50310,50310,1020,-9.9373944151826e-05
2021-05-26,50310,50310,50310,50310,0,0.0
2021-05-27,50320,50320,50320,50320,2006,0.000198767640628
2021-05-28,50320,50320,50320,50320,100,0.0
2021-05-31,50315,50325,50315,50320,1012,0.0
2021-06-01,50325,50325,50315,50325,5,9.936406995225688e-05
2021-06-02,50325,50325,50315,50325,117,0.0
2021-06-03,50325,50325,50315,50315,142,-0.0001987083954296
2021-06-04,50320,50330,50320,50320,1002,9.9373944151937e-05
2021-06-07,50325,50325,50325,50325,0,9.936406995225688e-05
2021-06-08,50330,50330,50320,50320,200,-9.935419771489595e-05
2021-06-09,50330,50330,50320,50320,17,0.0
2021-06-10,50325,50325,50325,50325,0,9.936406995225688e-05
2021-06-11,50325,50325,50325,50325,0,0.0
2021-06-14,50325,50325,50325,50325,0,0.0
2021-06-15,50325,50325,50325,50325,71,0.0
2021-06-16,50325,50325,50325,50325,41,0.0
2021-06-17,50340,50340,50340,50340,22,0.0002980625931445
2021-06-18,50340,50340,50340,50340,0,0.0
2021-06-21,50340,50340,50330,50330,26,-0.0001986491855383
2021-06-22,50340,50340,50330,50330,142,0.0
2021-06-23,50335,50345,50335,50340,95,0.0001986886548777
2021-06-24,50345,50345,50345,50345,29,9.932459276917882e-05
2021-06-25,50345,50345,50345,50345,0,0.0
2021-06-28,50345,50345,50345,50345,50,0.0
2021-06-29,50345,50345,50335,50335,88,-0.0001986294567484
2021-06-30,50335,50335,50335,50335,4,0.0
2021-07-01,50340,50350,50340,50340,50,9.9334459123801e-05
2021-07-02,50350,50350,50340,50340,10,0.0
2021-07-05,50350,50350,50340,50345,84,9.932459276917882e-05
2021-07-06,50355,50355,50345,50345,23,0.0
2021-07-07,50350,50355,50350,50355,2478,0.0001986294567484
2021-07-08,50355,50355,50350,50355,7803,0.0
